Dish Name,State/Region,Category,Diet,Description,Ingredients (Key),Typical Serving Size,KCAL,PROTEIN (g),CARBS (g),FAT (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Ingredients (Full List),Ingredients with Ayurvedic Notes
Bathua raita,Pan-India / General Home Cooking,Curry/Side (Raita),Veg,A vegetarian curry/side.,Bathua (Pigweed),,54.4,4.13,5.31,1.76,4.11,2.19,110.92,206.31,1.46,43.65,61.2,"Bathua (Pigweed), Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Yogurt, Roasted Cumin Powder, Coriander Leaves","Bathua (Pigweed) (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Yogurt (Amla, Guru, sour and cooling in moderation); Roasted Cumin Powder (Ushna, kindles Agni, eases digestion); Coriander Leaves (Shita, cooling, soothes Pitta)"
Beans foogath,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with beans.,Beans,,105.06,2.03,3.26,9.22,1.7,4.15,81.22,44.2,0.95,6.36,86.05,"Beans, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Beans (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Beetroot poori (Chukandar ki poori),Pan-India / General Home Cooking,Bread/Roti,Veg,A vegetarian bread/roti.,Beetroot,,527.66,1.91,12.29,52.18,0.54,1.4,46.48,5.38,0.6,0.29,9.45,"Beetroot, Wheat Flour, Salt, Water, Oil/Ghee","Beetroot (Balances doshas when eaten fresh and in moderation); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
Bengal 5 Spice Blend (Panch Phoran),Pan-India / General Home Cooking,Side/Condiment (Tempering/Spice Mix),Veg,A vegetarian side/condiment.,Mixed Whole Spices,,289.79,18.26,20.0,22.16,1.4,18.4,51.43,523.0,13.37,,,"Mixed Whole Spices, Salt, Pepper, Oil/Butter, Mustard Seeds, Cumin Seeds, Dry Red Chilli, Oil","Mixed Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Cumin Seeds (Ushna, kindles Agni, eases digestion); Dry Red Chilli (Ushna, heating, use sparingly for Pitta); Oil (Snigdha, unctuous, balances Vata)"
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Pan-India / General Home Cooking,Breakfast/Tiffin,Veg,"A vegetarian breakfast/tiffin typically made with gram flour, spinach.","Gram Flour, Spinach",,216.49,5.54,21.39,12.09,1.31,4.39,177.19,33.07,1.85,6.65,50.53,"Gram Flour, Spinach, Salt, Oil, Mixed Spices","Gram Flour (Laghu, light, balances Kapha); Spinach (Laghu, cooling, iron-rich); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata); Mixed Spices (Ushna, kindles Agni, aids digestion)"
Besan bathua chilla/cheela,Pan-India / General Home Cooking,Breakfast/Tiffin (Pancake),Veg,A vegetarian breakfast/tiffin typically made with gram flour.,Gram Flour,,373.82,11.48,40.65,18.57,1.45,7.79,166.36,64.75,2.68,2.05,24.35,"Gram Flour, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Gram Flour (Laghu, light, balances Kapha); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Besan kadhi with pakodies,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with gram flour.,Gram Flour,,403.35,1.64,3.56,42.59,0.88,0.81,60.8,24.53,0.38,4.17,77.03,"Gram Flour, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Gram Flour (Laghu, light, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Bhatura,Pan-India / General Home Cooking,Bread/Roti,Veg,A vegetarian bread/roti.,Refined Flour (Maida),,793.2,1.63,10.73,82.56,0.69,0.38,28.3,12.12,0.33,0.05,4.15,"Refined Flour (Maida), Wheat Flour, Salt, Water, Oil/Ghee","Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
Bhel puri,Pan-India / General Home Cooking,Bread/Roti,Veg,A vegetarian bread/roti.,Puffed Rice,,509.89,3.52,16.47,47.91,3.41,2.24,93.98,24.22,1.29,31.61,157.03,"Puffed Rice, Wheat Flour, Salt, Water, Oil/Ghee","Puffed Rice (Laghu, easy to digest, balances Kapha); Wheat Flour (Guru, nourishing, grounds Vata); Salt (Ushna, enhances taste, balances electrolytes); Water (Balances doshas when eaten fresh and in moderation); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues)"
Black channa curry/Bengal gram curry (Kale chane ki curry),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with chickpeas.,Chickpeas,,140.68,5.67,14.11,6.61,2.36,7.99,358.63,53.87,2.43,15.13,87.38,"Chickpeas, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chickpeas (Laghu, grounding, aids digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),Pan-India / General Home Cooking,Rice Dish,Veg,A vegetarian rice dish typically made with chickpeas.,Chickpeas,,125.51,3.44,21.55,2.58,1.99,2.69,103.09,16.51,0.77,8.11,88.34,"Chickpeas, Rice, Oil/Ghee, Whole Spices, Salt","Chickpeas (Laghu, grounding, aids digestion); Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Black forest gateau,Pan-India / General Home Cooking,Bakery (Cake/Pastry),Veg,A vegetarian bakery.,Chocolate,,217.82,5.94,30.57,8.58,21.97,0.28,79.37,46.79,1.09,143.5,10.98,"Chocolate, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Black forest pastry,Pan-India / General Home Cooking,Bakery (Cake/Pastry),Veg,A vegetarian bakery.,Chocolate,,233.55,6.09,34.48,8.46,21.35,0.54,53.43,44.15,0.92,0.91,16.28,"Chocolate, Refined Flour (Maida), Sugar, Butter, Egg, Baking Powder, Milk","Chocolate (Guru, Ushna, stimulating); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Butter (Snigdha, unctuous, balances Vata); Egg (Guru, Ushna, builds strength, use moderately for Pitta); Baking Powder (Neutral, leavening agent); Milk (Guru, Shita, cooling and building, balances Pitta)"
Black rice kheer (Chak-hao kheer),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with rice.,Rice,,147.94,4.37,22.93,4.91,12.57,0.76,25.77,94.89,0.46,3.22,11.25,"Rice, Sugar, Ghee, Milk/Khoya, Cardamom","Rice (Laghu, easy to digest, balances Kapha); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Boiled egg (Ubla anda),Pan-India / General Home Cooking,Breakfast (Omelette/Egg),Egg (Ovo-Veg),A egg-based breakfast typically made with egg.,Egg,,45.35,4.43,0.12,3.04,0.0,0.11,170.94,17.75,0.64,0.0,24.77,"Egg, Onion, Green Chilli, Salt, Oil","Egg (Guru, Ushna, builds strength, use moderately for Pitta); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Green Chilli (Ushna, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes); Oil (Snigdha, unctuous, balances Vata)"
Boiled rice (Uble chawal),Pan-India / General Home Cooking,Rice Dish,Veg,A vegetarian rice dish typically made with rice.,Rice,,117.19,2.6,25.72,0.18,0.22,1.25,1.05,2.7,0.24,0.0,9.75,"Rice, Oil/Ghee, Whole Spices, Salt","Rice (Laghu, easy to digest, balances Kapha); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Whole Spices (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Boondi raita,Pan-India / General Home Cooking,Curry/Side (Raita),Veg,A vegetarian curry/side.,Boondi (Gram Flour),,687.72,2.19,3.96,73.83,1.88,0.46,99.18,49.0,0.24,0.77,37.83,"Boondi (Gram Flour), Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Yogurt, Roasted Cumin Powder, Coriander Leaves","Boondi (Gram Flour) (Laghu, light, balances Kapha); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Yogurt (Amla, Guru, sour and cooling in moderation); Roasted Cumin Powder (Ushna, kindles Agni, eases digestion); Coriander Leaves (Shita, cooling, soothes Pitta)"
Bottle gourd burfi (Ghiya/Lauki burfi),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with bottle gourd.,Bottle Gourd,,275.96,5.86,24.51,17.68,23.92,0.73,18.15,215.85,0.93,1.08,34.06,"Bottle Gourd, Sugar, Ghee, Milk/Khoya, Cardamom","Bottle Gourd (Laghu, light, supports digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Bottle gourd kheer (Ghiya/Lauki kheer),Pan-India / General Home Cooking,Sweet,Veg,A vegetarian sweet typically made with bottle gourd.,Bottle Gourd,,84.07,2.7,10.0,3.86,9.63,0.55,19.62,94.18,0.23,6.2,35.87,"Bottle Gourd, Sugar, Ghee, Milk/Khoya, Cardamom","Bottle Gourd (Laghu, light, supports digestion); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Milk/Khoya (Guru, Shita, cooling and building, balances Pitta); Cardamom (Ushna, aromatic, soothes digestion)"
Bottle gourd raita (Ghiya/Lauki ka raita),Pan-India / General Home Cooking,Curry/Side (Raita),Veg,A vegetarian curry/side typically made with bottle gourd.,Bottle Gourd,,56.31,3.98,5.76,2.07,5.25,0.85,188.37,138.26,0.23,4.76,39.49,"Bottle Gourd, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt, Yogurt, Roasted Cumin Powder, Coriander Leaves","Bottle Gourd (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes); Yogurt (Amla, Guru, sour and cooling in moderation); Roasted Cumin Powder (Ushna, kindles Agni, eases digestion); Coriander Leaves (Shita, cooling, soothes Pitta)"
Bread and butter pudding,Pan-India / General Home Cooking,Bakery (Bread),Veg,"A vegetarian bakery typically made with butter, bread.","Butter, Bread",,167.94,5.59,19.63,7.88,11.84,0.98,96.3,105.54,0.9,1.58,21.41,"Butter, Bread, Refined Flour (Maida), Yeast, Salt, Sugar, Water","Butter (Snigdha, unctuous, balances Vata); Bread (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Yeast (Neutral, leavening agent); Salt (Ushna, enhances taste, balances electrolytes); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Water (Balances doshas when eaten fresh and in moderation)"
Bread pakora/pakoda,Pan-India / General Home Cooking,Bakery (Bread),Veg,A vegetarian bakery typically made with bread.,Bread,,710.99,2.57,8.87,74.2,0.46,1.11,101.49,19.83,0.46,0.01,114.11,"Bread, Refined Flour (Maida), Yeast, Salt, Sugar, Water","Bread (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Yeast (Neutral, leavening agent); Salt (Ushna, enhances taste, balances electrolytes); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Water (Balances doshas when eaten fresh and in moderation)"
Bread roll,Pan-India / General Home Cooking,Bakery (Bread),Veg,A vegetarian bakery typically made with bread.,Bread,,435.46,2.85,16.12,40.25,0.94,1.45,139.34,44.83,0.71,6.79,15.69,"Bread, Refined Flour (Maida), Yeast, Salt, Sugar, Water","Bread (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Yeast (Neutral, leavening agent); Salt (Ushna, enhances taste, balances electrolytes); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Water (Balances doshas when eaten fresh and in moderation)"
Bread upma,Pan-India / General Home Cooking,Bakery (Bread),Veg,A vegetarian bakery typically made with bread.,Bread,,129.51,2.8,12.6,7.75,1.56,1.96,176.44,45.22,0.82,4.64,15.79,"Bread, Refined Flour (Maida), Yeast, Salt, Sugar, Water","Bread (Balances doshas when eaten fresh and in moderation); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Yeast (Neutral, leavening agent); Salt (Ushna, enhances taste, balances electrolytes); Sugar (Guru, Madhura, builds Ojas but heavy for Kapha); Water (Balances doshas when eaten fresh and in moderation)"
Brinjal bhartha (Baingan ka bhartha),Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy typically made with brinjal.,Brinjal,,65.12,1.38,4.4,4.48,1.82,3.27,132.15,17.85,0.48,24.05,92.42,"Brinjal, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Brinjal (Laghu, light, supports digestion); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Brinjal pickle (Baingan ka achaar),Pan-India / General Home Cooking,Pickle/Preserve,Veg,A vegetarian pickle/preserve typically made with brinjal.,Brinjal,,139.01,2.24,4.23,12.98,1.07,4.62,3507.59,37.28,2.16,,,"Brinjal, Oil, Mustard Seeds, Turmeric, Red Chilli Powder, Salt","Brinjal (Laghu, light, supports digestion); Oil (Snigdha, unctuous, balances Vata); Mustard Seeds (Ushna, stimulates digestion); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Salt (Ushna, enhances taste, balances electrolytes)"
Broccoli chicken ala king,Pan-India / General Home Cooking,Curry/Gravy,Non-Veg,A non-vegetarian curry/gravy typically made with chicken.,Chicken,,119.56,7.97,5.34,7.57,2.49,1.92,104.01,73.36,0.78,79.81,105.46,"Chicken, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Chicken (Guru, Ushna, builds strength); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Broccoli delight,Pan-India / General Home Cooking,Curry/Gravy,Veg,A vegetarian curry/gravy.,Broccoli,,40.7,2.49,2.34,2.48,1.08,2.83,59.26,26.99,0.71,79.0,97.64,"Broccoli, Onion, Tomato, Ginger-Garlic Paste, Oil/Ghee, Turmeric, Red Chilli Powder, Garam Masala, Salt","Broccoli (Balances doshas when eaten fresh and in moderation); Onion (Ushna, stimulates Agni, balances Kapha and Vata); Tomato (Amla, sour, stimulates digestion, use sparingly for Pitta); Ginger-Garlic Paste (Ushna, kindles Agni, aids digestion); Oil/Ghee (Snigdha, unctuous, balances Vata and nourishes tissues); Turmeric (Ushna, anti-inflammatory, purifies blood); Red Chilli Powder (Ushna, heating, use sparingly for Pitta); Garam Masala (Ushna, kindles Agni, aids digestion); Salt (Ushna, enhances taste, balances electrolytes)"
Brown stock,Pan-India / General Home Cooking,Sauce/Condiment (Base Stock),Veg,A vegetarian sauce/condiment.,Bones,,21.32,1.95,0.25,1.38,0.14,0.09,44.6,17.16,0.3,1.5,6.33,"Bones, Butter, Refined Flour (Maida), Salt, Pepper, Oil/Butter","Bones (Guru, Ushna, deeply nourishing); Butter (Snigdha, unctuous, balances Vata); Refined Flour (Maida) (Guru, heavier to digest, best in moderation); Salt (Ushna, enhances taste, balances electrolytes); Pepper (Ushna, heating, clears Kapha); Oil/Butter (Snigdha, unctuous, balances Vata)"
